"""","総 数","持ち家","借家総数","公営の借家","都市再生機構･公社の借家","民営借家総 数","民家_木 造","民家_非木造","給与住宅"
"総 数","388100.0","290200.0","91700.0","12400.0","1200.0","73100.0","30800.0","42300.0","4900.0"
"","","","","","","","","",""
"     ～1950年","31000.0","26600.0","4300.0","0.0","-","4200.0","3700.0","500.0","100.0"
" 1951～1960","13500.0","11300.0","2200.0","600.0","-","1600.0","1300.0","200.0","0.0"
" 1961～1970","32500.0","25600.0","7000.0","1700.0","900.0","4100.0","3200.0","1000.0","300.0"
" 1971～1980","66100.0","52100.0","14000.0","4000.0","400.0","9100.0","4400.0","4700.0","600.0"
" 1981～1990","68700.0","53900.0","14800.0","3500.0","-","10500.0","3700.0","6800.0","800.0"
" 1991～1995","40400.0","29500.0","10900.0","1300.0","-","8200.0","2600.0","5600.0","1400.0"
" 1996～2000","36600.0","28400.0","8200.0","700.0","-","7000.0","1600.0","5500.0","500.0"
" 2001～2005","32800.0","25500.0","7300.0","400.0","-","6700.0","2400.0","4300.0","200.0"
" 2006～2008","20300.0","14600.0","5700.0","-","-","5300.0","1700.0","3700.0","400.0"
" 2009年","8200.0","5600.0","2600.0","200.0","-","2200.0","700.0","1500.0","200.0"
" 2010年","6100.0","3800.0","2200.0","-","-","2200.0","400.0","1800.0","0.0"
" 2011年","5000.0","3300.0","1700.0","-","-","1700.0","700.0","1000.0","0.0"
" 2012年","5500.0","2800.0","2800.0","-","-","2700.0","200.0","2500.0","0.0"
" 2013年1月～9月","2500.0","2100.0","400.0","-","-","400.0","100.0","300.0","0.0"
" 不詳","18800.0","5100.0","7400.0","0.0","-","7100.0","4100.0","3000.0","200.0"
